01/13/2020,MyBookie,,AJAX AMSTERDAM -1,,,,(Ajax Amsterdam vs PSV Eindhoven),,,5.00,1.81,Y,N,Bet Ticket: #86183212  Placed: 01/13/2020  STRAIGHT BET (FP)  [7003619] AJAX AMSTERDAM -1 1.81 (Ajax Amsterdam vs PSV Eindhoven) LOSE  Risk: $0.00 LOSE  Win: $  0.00
01/13/2020,MyBookie,,TOTAL o3,,,,(TOP OSS vrs AZ ALKMAAR) (TOP Oss vs AZ Alkmaar),,,5.00,1.86,Y,Y,Bet Ticket: #86183247  Placed: 01/13/2020  STRAIGHT BET (FP)  [7003347] TOTAL o3 1.86 (TOP OSS vrs AZ ALKMAAR) (TOP Oss vs AZ Alkmaar) WIN  Risk: $0.00 WIN  Win: $  4.31
01/13/2020,MyBookie,,AZ ALKMAAR,,,,(TOP Oss vs AZ Alkmaar),,,5.00,1.83,Y,Y,Bet Ticket: #86183602  Placed: 01/13/2020  STRAIGHT BET (FP)  [7003348] AZ ALKMAAR 1.83 (TOP Oss vs AZ Alkmaar) WIN  Risk: $0.00 WIN  Win: $  4.13
01/13/2020,MyBookie,,PARMA CALCIO 1913 S.R.L.,,,,(US Lecce vs Parma Calcio 1913 S.r.l.),,,5.00,1.70,Y,Y,Bet Ticket: #86182942  Placed: 01/13/2020  STRAIGHT BET (FP)  [7006810] PARMA CALCIO 1913 S.R.L. 1.70 (US Lecce vs Parma Calcio 1913 S.r.l.) WIN  Risk: $0.00 WIN  Win: $  3.52
01/13/2020,MyBookie,,FC LORIENT,,,,(SM Caen vs FC Lorient),,,5.00,1.68,Y,Y,Bet Ticket: #86183252  Placed: 01/13/2020  STRAIGHT BET (FP)  [7011658] FC LORIENT 1.68 (SM Caen vs FC Lorient) WIN  Risk: $0.00 WIN  Win: $  3.40
01/13/2020,MyBookie,,LINFIELD FC,,,,(Linfield FC vs Cliftonville FC),,,5.00,2.62,Y,Y,Bet Ticket: #86182951  Placed: 01/13/2020  STRAIGHT BET (FP)  [7039239] LINFIELD FC 2.62 (Linfield FC vs Cliftonville FC) WIN  Risk: $0.00 WIN  Win: $  8.10
01/13/2020,MyBookie,,TOTAL u2¾,,,,(LINFIELD FC vrs CLIFTONVILLE FC) (Linfield FC vs Cliftonville FC),,,5.00,1.78,Y,N,Bet Ticket: #86182968  Placed: 01/13/2020  STRAIGHT BET (FP)  [7039240] TOTAL u2¾ 1.78 (LINFIELD FC vrs CLIFTONVILLE FC) (Linfield FC vs Cliftonville FC) Lose By ¾  Risk: $0.00 Lose By ¾  Win: $  0.00
01/13/2020,MyBookie,,CALGARY FLAMES,,,,,,,5.00,1.91,Y,N,Bet Ticket: #86183615  Placed: 01/13/2020  STRAIGHT BET (FP)  [69] CALGARY FLAMES 1.91 LOSE  Risk: $0.00 LOSE  Win: $  0.00
01/13/2020,MyBookie,,TIE,,,,(NEW YORK ISLANDERS vs NEW YORK RANGERS - 3 Way Line),,,5.00,4.00,Y,N,Bet Ticket: #86227076  Placed: 01/13/2020  (FP)  [78053] TIE 4.00 (NEW YORK ISLANDERS vs NEW YORK RANGERS - 3 Way Line) LOSE  Risk: $0.00 LOSE  Win: $  0.00
01/13/2020,MyBookie,,INDIANA PACERS -3½,,,,,,,5.00,1.91,Y,Y,Bet Ticket: #86236438  Placed: 01/13/2020  STRAIGHT BET (FP)  [558] INDIANA PACERS -3½ 1.91 WIN  Risk: $0.00 WIN  Win: $  4.55
01/13/2020,MyBookie,,INDIANA PACERS -3½,,,,,,,5.00,1.91,Y,Y,Bet Ticket: #86231495  Placed: 01/13/2020  STRAIGHT BET (FP)  [558] INDIANA PACERS -3½ 1.91 WIN  Risk: $0.00 WIN  Win: $  4.55
01/13/2020,MyBookie,,CHICAGO BULLS +9½,,,,,,,5.00,1.91,Y,N,Bet Ticket: #86227932  Placed: 01/13/2020  STRAIGHT BET (FP)  [561] CHICAGO BULLS +9½ 1.91 LOSE  Risk: $0.00 LOSE  Win: $  0.00
01/13/2020,MyBookie,,OKLAHOMA CITY THUNDER -2,,,,,,,5.00,1.91,Y,Y,Bet Ticket: #86235135  Placed: 01/13/2020  STRAIGHT BET (FP)  [563] OKLAHOMA CITY THUNDER -2 1.91 WIN  Risk: $0.00 WIN  Win: $  4.55
01/13/2020,MyBookie,,OKLAHOMA CITY THUNDER -2,,,,,,,5.00,1.91,Y,Y,Bet Ticket: #86227373  Placed: 01/13/2020  STRAIGHT BET (FP)  [563] OKLAHOMA CITY THUNDER -2 1.91 WIN  Risk: $0.00 WIN  Win: $  4.55
01/13/2020,MyBookie,,LSU -6,,,,,,,5.00,1.95,Y,Y,Bet Ticket: #86183543  Placed: 01/13/2020  STRAIGHT BET (FP)  [284] LSU -6 1.95 WIN  Risk: $0.00 WIN  Win: $  4.76
01/13/2020,MyBookie,,CHARLOTTE HORNETS +9½,,,,,,,5.00,1.91,Y,Y,Bet Ticket: #86234646  Placed: 01/13/2020  STRAIGHT BET (FP)  [565] CHARLOTTE HORNETS +9½ 1.91 WIN  Risk: $0.00 WIN  Win: $  4.55
01/13/2020,MyBookie,,ORLANDO MAGIC +2,,,,,,,5.00,1.91,Y,Y,Bet Ticket: #86227928  Placed: 01/13/2020  STRAIGHT BET (FP)  [567] ORLANDO MAGIC +2 1.91 WIN  Risk: $0.00 WIN  Win: $  4.55
